Date,AM12,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,AM11,PM12,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11
6/25/98,33456,29909,28209,26963,26022,26018,26730,28851,32785,36124,38644,40986,42571,44742,45637,46286,46998,47283,47331,46194,44886,43992,43402,40643
6/26/98,36886,33428,31446,30165,29382,29011,29937,31886,35669,38958,41913,44836,46518,46703,47076,46891,45328,44213,42444,41393,40468,39497,39219,37942
6/27/98,35593,33195,31837,27769,26054,25730,25985,26749,29157,32627,35568,37250,38239,38363,38039,37892,37761,37742,37552,36908,35799,34441,34946,32915
6/28/98,30392,27701,25699,24261,23220,22731,22307,22259,23097,25170,26641,28119,28891,29465,29907,30231,30556,31093,31239,30852,29793,29738,30578,28849
6/29/98,26611,24366,22923,22275,21955,22510,23833,26080,28902,31576,32670,33732,34509,35103,36143,36418,36948,37331,37467,36882,35992,35952,36400,33973
6/30/98,31082,28348,26785,25953,25464,25540,26721,29275,32265,34212,36131,37844,38900,39424,40317,40836,41015,41105,40630,39434,36618,34204,33310,30889
7/1/98,27788,25098,23567,22635,22186,22272,23407,25483,28866,30298,32717,33910,35093,35350,35735,35822,36203,36206,36029,34774,33633,32758,33058,30667
7/2/98,27610,24779,23424,22388,21840,21832,22894,24953,27659,30551,32323,34051,35028,35582,36258,36711,36853,37066,36831,35837,34335,33190,33103,30719
7/3/98,27786,24911,23257,22069,21474,21156,21358,22129,23826,26773,29240,31282,32688,33165,33734,34271,34750,35258,35548,34801,33326,32403,32313,30371
7/4/98,27947,25310,23321,22200,21391,21039,20835,20812,22355,25042,27890,30231,31998,33029,33404,33427,33057,32312,31419,30188,29175,28930,28824,27849
7/5/98,26542,24588,23012,21978,21120,20745,20549,20488,21838,24199,26427,27951,28965,29665,29995,30226,30605,31285,31581,31324,30422,29961,30463,28956
7/6/98,26544,24271,22624,21796,21178,21402,22240,24623,27394,30498,32466,34212,35311,35971,36635,37088,37301,37437,37233,35932,33597,33843,33900,31371
7/7/98,28378,25449,23873,22902,22483,22386,23705,25598,28795,31346,33423,34793,35930,36614,37229,37688,37952,37878,37229,35927,34636,34254,34098,31618
7/8/98,28656,26071,24458,23550,23144,23219,24516,26905,29174,31344,32168,32840,33015,32783,32762,32522,32265,32070,31941,31250,30605,30502,30290,28066
7/9/98,25880,23341,22137,21541,21141,21280,22609,25051,27696,30069,31435,32768,33691,34302,35183,36020,36555,37044,37358,36714,35481,34945,35368,32933
7/10/98,29927,27188,25343,24506,23776,23799,24485,27123,30194,33434,35344,37210,38359,39013,39241,39419,39401,39119,38548,37104,34949,33465,33150,30762
7/11/98,27804,24743,23053,21963,21243,20958,21113,21322,23070,25590,27742,29325,30062,30066,30186,30198,30371,30591,30536,30025,29127,28579,29057,27437
7/12/98,25068,23051,21402,20580,20984,20500,19397,19334,20604,22879,25117,26711,28051,28876,29424,29949,30322,30867,31389,31066,30305,30141,30965,29187
7/13/98,26603,24192,23037,22259,21783,21934,23361,25066,28411,31305,33709,35818,37129,38081,38923,39707,40385,40749,40605,39532,38025,37229,37129,34223
7/14/98,30855,27637,26090,24744,24019,23935,25158,27389,30500,33783,35815,37854,39444,40537,41500,42279,42771,42701,42313,41247,39808,39086,39017,36015
7/15/98,32956,29521,27635,26287,25670,25723,27010,29540,32435,35508,37484,39293,40661,41645,42377,42396,42490,42317,41697,40459,39170,38899,38629,35653
7/16/98,32572,29661,27779,26554,25969,25992,27289,29860,32711,35372,37488,39048,41021,42376,43315,43869,44407,44423,44256,43320,41863,41381,41034,38118
7/17/98,34855,31368,29643,28306,27639,27593,28780,31302,34230,37077,38687,40298,41652,42570,43697,44651,44844,44693,44203,42966,41308,40336,39569,36818
7/18/98,33862,30665,28617,27038,26163,25535,25432,25768,27485,30627,33120,35012,36226,36816,37291,37491,37677,38070,37916,37222,35888,34807,34750,32526
7/19/98,30009,27261,25488,24081,23255,22651,22541,22388,23683,25900,28562,30605,32595,34079,34853,35525,36137,36720,37098,36744,36032,36000,36544,34850
